Destination,Property Name,Property Type,Website,Status,Research Date,Notes,Max Guests,Sleeping Capacity,Number of Units,Largest Gathering Space Capacity,Private Buyout Possible (Y/N),Can Reserve 1 Year In Advance,Multi-Generational Friendly (1-5),ADA Accessibility (1-5),Estimated Reunion Cost,Cost Per Family,Cost Score (1-10),Includes Meals (Y/N),Additional Fees,Value Score (1-10),Nearest Airport,Airport Drive Time (min),Direct Flights from NYC (1-5),Direct Flights from ATL/Southeast (1-5),Direct Flights from Midwest (1-5),Direct Flights from West Coast (1-5),Travel Convenience Score (1-10),On-Site Activities Count,Swimming (Y/N),Water Sports (Y/N),Hiking (Y/N),Kids Programs (Y/N),Teen Activities (Y/N),Adult Activities (Y/N),Indoor Backup Activities (Y/N),Activity Score (1-10),Exclusive Gathering Areas (1-5),Group Dining Options (1-5),Reunion Programming Support (1-5),Campfire/Event Spaces (1-5),Privacy Score (1-10),Reunion Suitability Score (1-10),Scenic Quality (1-10),Water Access (1-5),Mountain Access (1-5),Wildlife Viewing (1-5),Nearby National Park (Y/N),Signature Attraction,Beauty Score (1-10),Typical July High,Typical July Low,Humidity Score (1-10),Weather Reliability Score (1-10),Ages 3-8 Score,Ages 9-13 Score,Teen Score,Overall Kid Appeal (1-10),Outdoor Recreation Score,Relaxation Score,Food & Beverage Score,Nearby Town Appeal Score,Adult Appeal Score (1-10),Cell Service,WiFi Quality,Medical Facility Distance,Grocery Distance,Logistics Score (1-10),Overall Weighted Score,Final Rank
Poconos, Pennsylvania,Woodloch Pines Resort,Resort,,Finalist Candidate,2026-05-23,Top Poconos candidate / finalist-tier family resort.,,,,,,Likely; verify,,,,,,,,,AVP / EWR,60-150,,,,,,Y,Y,Y,Y,,Y,Y,,,,,,,,,,,,Pocono Mountains,,,,,,,,,,,,,,,,,,
Poconos, Pennsylvania,Skytop Lodge,Lodge/Resort,,Candidate,2026-05-23,Large classic Poconos lodge option.,,,,,,Likely; verify,,,,,,,,,AVP / EWR,60-150,,,,,,Y,Y,Y,Y,,Y,Y,,,,,,,,,,,,Pocono Mountains,,,,,,,,,,,,,,,,,,
Poconos, Pennsylvania,Kalahari Resorts & Conventions Poconos,Waterpark Resort,,Candidate,2026-05-23,Large indoor waterpark/convention resort.,,,,,,Likely; verify,,,,,,,,,AVP / EWR,60-150,,,,,,Y,,Y,,,Y,Y,,,,,,,,,,,,Pocono Mountains,,,,,,,,,,,,,,,,,,
Poconos, Pennsylvania,Camelback Resort,Resort,,Candidate,2026-05-23,Large resort/waterpark/ski option.,,,,,,Likely; verify,,,,,,,,,AVP / EWR,60-150,,,,,,Y,,Y,Y,,Y,Y,,,,,,,,,,,,Pocono Mountains,,,,,,,,,,,,,,,,,,
Poconos, Pennsylvania,Shawnee Inn & Golf Resort,Resort,,Candidate,2026-05-23,River/golf resort considered in Poconos set.,,,,,,Likely; verify,,,,,,,,,AVP / EWR,60-150,,,,,,Y,Y,Y,,,Y,Y,,,,,,,,,,,,Pocono Mountains,,,,,,,,,,,,,,,,,,
Poconos, Pennsylvania,Pocono Mountain Villas by Exploria Resorts,Villa Resort,,Candidate,2026-05-23,Villa-style Poconos lodging considered in early research.,,,,,,Likely; verify,,,,,,,,,AVP / EWR,60-150,,,,,,,,Y,,,,,,,,,,,,,,,Pocono Mountains,,,,,,,,,,,,,,,,,,
Poconos, Pennsylvania,Mountain Springs Lake Resort,Cabin/Lake Resort,,Candidate,2026-05-23,Cabin/lake resort considered in early Poconos shortlist.,,,,,,Likely; verify,,,,,,,,,AVP / EWR,60-150,,,,,,Y,Y,Y,,,,,,,,,,,,,,Pocono Mountains,,,,,,,,,,,,,,,,,,
Poconos, Pennsylvania,Magnolia Streamside Resort,Cabin Resort,,Candidate,2026-05-23,Smaller streamside cabin resort considered in early Poconos shortlist.,,,,,,Likely; verify,,,,,,,,,AVP / EWR,60-150,,,,,,Y,Y,Y,,,,,,,,,,,,,,Pocono Mountains,,,,,,,,,,,,,,,,,,
Poconos, Pennsylvania,Hilltop Castle World,Vacation Rental,,Candidate,2026-05-23,Novelty large-house/private rental concept.,,,,,,,,,,,,,,,,AVP / EWR,60-150,,,,,,Y,,,,,,,,,,,,,,,,Pocono Mountains,,,,,,,,,,,,,,,,,,
Hershey / Lancaster, Pennsylvania,Hershey Lodge,Resort,,Finalist Candidate,2026-05-23,Top Hershey/Lancaster candidate; large family-oriented resort.,,,,,,Likely; verify,,,,,,,,,MDT,20-50,,,,,,Y,,,,,,Y,,,,,,,,,,,,Hersheypark / Lancaster County,,,,,,,,,,,,,,,,,,
