Count,count
It doesn't have A/C,3
"It's too far generally (put thresholds in other), It's too expensive (put budget ranges in next q if you want)",1
"It's too far from an airport, My room doesn't have a kitchen, ""too far from airport"" is more than 4 hours away.",1
"It's too expensive (put budget ranges in next q if you want), Hot/humid matters a lot less if there's good AC.",1
"It's too expensive (put budget ranges in next q if you want), $3000 would be fantastic. Including flights (unless we can drive reasonably) and location fees",1
kitchen is a dealbreaker but in NH got an AirBnB nearby bc couldn't eat food,1
"My deal breaker would specifically be if it was too hot AND there was no AC. Fine with no AC if it's a cool climate but would probably struggle if highs were in the 80s and above even if it cooled off well at night. If we went back to the place in NH, I would not attend. ",1
It's too hot and/or humid,1
"My room doesn't have a kitchen, Can't say I wouldn't attend if no kitchen, but I would love to have one",1
"It's too far generally (put thresholds in other), It doesn’t have restaurants and family friendly activities nearby",1
"It's too far generally (put thresholds in other), It doesn't have A/C, My room doesn't have a kitchen, With young children, not looking for 2+ flights and then lengthy car travel. ",1
"It's too expensive (put budget ranges in next q if you want), It's in a specific place or region (specify in Other please), Personally, i could realistically afford $150/day for lodging, though i know theres family willing to help supplement. Id rather not go to alaska or hawaii. In general, i feel like when we go places people wouldnt normally go themselves, or somewhere where theres lots of exciting stuff happening, the family spends less time together and splinters off into small groups to accomodate outtings",1
"It's too hot and/or humid, It doesn't have A/C, It's too expensive (put budget ranges in next q if you want)",1
"It's too hot and/or humid, It doesn't have A/C",1
"It doesn't have A/C, My room doesn't have a kitchen",1
"It's in a specific place or region (specify in Other please), Do not want to go back to Bend Oregon",1
"It's too far generally (put thresholds in other), It doesn't have A/C, My room doesn't have a kitchen, It's in a specific place or region (specify in Other please), Needs to be in lower 48",1
